 1024 b        524799 0.001496
 1024 i          1024 0.000000
 1024 m         11276 0.000199
 1024 q        524799 0.001210
 1024 r          2057 0.000000
 1024 s        524800 0.001096
 2048 b       2098175 0.005296
 2048 i          2048 0.000000
 2048 m         24589 0.000000
 2048 q       2098175 0.004398
 2048 r          4105 0.000000
 2048 s       2098176 0.005089
 4096 b       8390655 0.021750
 4096 i          4096 0.000000
 4096 m         53262 0.000399
 4096 q       8390655 0.019133
 4096 r          8201 0.000000
 4096 s       8390656 0.019961
 8192 b      33558528 0.086886
 8192 i          8192 0.000000
 8192 m        114703 0.000300
 8192 q      33558528 0.073577
 8192 r         16393 0.000000
 8192 s      33558528 0.082184
16384 b     134225920 0.348075
16384 i         16384 0.000200
16384 m        245776 0.001498
16384 q     134225920 0.285147
16384 r         32777 0.000100
16384 s     134225920 0.300801
32768 b     536887296 1.432085
32768 i         32768 0.000098
32768 m        524305 0.003104
32768 q     536887296 1.130885
32768 r         65545 0.000298
32768 s     536887296 1.300327
