 1024 b        524799 0.002198
 1024 i        264524 0.000397
 1024 m         11276 0.000199
 1024 q         11981 0.000000
 1024 r         10285 0.000100
 1024 s        524800 0.001090
 2048 b       2098175 0.007888
 2048 i       1047848 0.002197
 2048 m         24589 0.000000
 2048 q         27779 0.000199
 2048 r         20525 0.000100
 2048 s       2098176 0.004592
 4096 b       8390655 0.033819
 4096 i       4153108 0.008484
 4096 m         53262 0.000299
 4096 q         56689 0.000400
 4096 r         41005 0.000200
 4096 s       8390656 0.019355
 8192 b      33558528 0.151902
 8192 i      16749362 0.035030
 8192 m        114703 0.001099
 8192 q        125155 0.000907
 8192 r         81965 0.000590
 8192 s      33558528 0.079404
16384 b     134225920 0.673406
16384 i      67413040 0.141541
16384 m        245776 0.002221
16384 q        269833 0.002213
16384 r        163885 0.001295
16384 s     134225920 0.298413
32768 b     536887296 3.751979
32768 i     267788576 0.858566
32768 m        524305 0.008476
32768 q        601129 0.007384
32768 r        327725 0.005183
32768 s     536887296 1.643388
